Engine_Temp,Oil_Pressure,RPM,Mileage,Failure
108,39,2893,103888,1
98,15,2215,97630,1
84,35,2787,141063,0
112,36,3363,198527,1
77,35,3213,115144,0
90,20,3383,132161,1
108,20,2841,176718,1
88,37,2607,171074,0
92,30,2841,157360,0
80,18,1610,130979,1
80,25,1750,177661,0
93,38,1882,86979,0
105,37,1506,106189,1
109,23,1958,122600,1
93,37,2607,139560,0
72,17,1707,158040,1
91,33,2399,141558,0
71,22,2913,166205,1
93,19,2837,86910,1
113,18,1521,137713,2
99,38,1909,126857,1
107,20,2394,114964,1
71,16,2014,165667,1
90,34,2650,105227,0
102,25,2308,85978,1
81,18,3223,167527,1
91,29,2373,97153,0
113,20,1513,139765,1
94,36,2470,179084,0
118,31,2477,188212,1
96,38,2513,119071,1
111,20,2535,192990,1
97,33,1586,149519,1
85,39,3047,89503,0
84,16,2408,140703,1
116,29,3060,144379,1
113,25,2824,175457,1
72,22,2766,137866,1
106,33,1621,96905,1
76,27,2670,125838,0
90,26,3090,138279,0
78,19,2249,169489,1
108,20,2879,106806,1
87,36,2184,125000,0
73,18,3427,102168,1
94,33,3256,150119,0
83,34,3154,118714,0
119,15,1808,134093,2
78,34,2194,135419,0
95,31,1787,129145,0
71,26,1806,185432,0
89,29,3335,157425,0
97,15,3117,172949,1
116,28,3489,157811,1
76,20,2413,82461,1
113,19,3246,94291,2
77,25,2161,126804,0
116,18,2048,156971,2
104,27,2875,173471,1
83,25,1811,144946,0
86,17,2372,178989,1
105,15,2582,164080,1
119,20,3166,141332,1
109,32,2423,157794,1
73,38,3237,110841,0
71,24,2254,128758,1
75,19,1534,194726,1
111,37,1944,156272,1
73,24,1592,117643,1
98,26,3473,130408,1
87,16,3482,123950,1
95,27,2730,136849,0
113,22,1852,180500,1
103,16,2402,108044,1
79,34,2855,185469,0
105,15,3340,95997,1
83,19,2361,159751,1
100,23,3248,178605,1
117,31,1658,103911,1
84,23,3477,135533,1
77,25,2456,162566,0
83,29,1523,174870,0
92,38,1903,94571,0
109,20,2304,188255,1
90,37,2015,174463,0
85,17,2231,137941,1
114,31,2887,138005,1
87,19,2905,166250,1
116,26,2031,138712,1
93,32,2455,123541,0
95,28,1651,103387,0
94,35,3085,173980,0
114,38,3212,128908,1
110,25,2446,165457,1
98,23,2107,93057,1
84,16,3140,144028,1
114,26,1919,190804,1
70,17,2773,199246,1
94,17,2640,135731,1
76,15,2365,104858,1
78,22,3035,128689,1
93,36,3263,124638,0
70,22,2077,171598,1
113,25,1834,182386,1
77,23,2941,126486,1
93,19,2431,100567,1
80,28,3297,109739,0
86,17,1794,137804,1
77,35,3461,188821,0
104,19,2254,83754,1
104,19,2894,107044,1
102,33,1685,147260,1
74,28,2769,146912,0
111,18,2136,88706,2
108,39,2791,88894,1
110,27,3166,98037,1
97,24,2760,163986,1
76,39,2029,161942,0
78,32,3075,131612,0
77,22,1520,109725,1
81,22,2410,85926,1
103,21,3260,184555,1
102,22,2366,89496,1
117,28,2293,136447,1
92,33,3043,181604,0
93,20,1599,109806,1
106,15,2251,168199,2
104,37,1977,121321,1
113,29,3122,182031,1
109,15,2821,145095,2
91,39,2439,102656,0
96,31,2025,135147,1
104,15,1833,171396,1
70,29,1501,129666,0
104,37,1874,162368,1
106,16,1792,118787,2
116,28,2336,193767,1
83,35,3457,142946,0
72,22,2504,101727,1
70,22,2052,188351,1
74,33,1817,175081,0
95,21,3025,190058,1
83,33,3351,148056,0
108,20,1880,83081,1
96,20,3146,114196,1
78,17,1513,116735,1
84,21,2003,184749,1
84,33,1730,160102,0
95,22,2607,159578,1
111,24,1629,105498,1
82,34,3266,156865,0
101,29,2337,111656,1
108,29,2668,147695,1
118,15,2390,117900,2
101,34,3380,197235,1
73,21,1527,164899,1
99,18,1565,127701,1
106,20,2686,188777,1
92,39,2752,99033,0
108,15,1760,90805,2
114,19,2972,115851,2
84,37,2947,106832,0
112,15,1959,143437,2
98,18,3475,195725,1
105,36,3199,93944,1
82,16,1800,99873,1
101,24,2418,120372,1
76,19,2826,169464,1
91,24,1786,95379,1
97,15,2918,197322,1
71,36,2533,116751,0
111,20,3230,180082,1
114,27,2129,169822,1
75,29,1769,85110,0
97,18,2091,134341,1
97,27,3493,92087,1
113,38,3128,103762,1
113,34,3301,195812,1
89,38,2343,162617,0
99,29,2361,180483,1
80,22,2884,89596,1
97,19,2780,183555,1
94,29,1632,187539,0
108,18,2799,98313,2
102,26,3299,193175,1
70,27,3206,146549,0
96,16,2471,194914,1
82,33,2012,103705,0
110,33,1812,147364,1
72,18,2075,153445,1
108,18,2385,183892,2
75,25,2807,158645,0
77,19,2644,82023,1
96,34,2630,199654,1
78,25,3456,139796,0
106,24,2186,160073,1
102,22,2727,172197,1
111,20,1664,144429,1
113,20,1804,184195,1
93,22,3020,141627,1
84,37,3155,113848,0
101,29,3079,117804,1
101,28,3347,95379,1
93,25,1655,139664,0
110,26,2890,107766,1
118,27,3242,189126,1
118,22,3425,148099,1
81,32,2119,116060,0
108,39,2774,174733,1
71,15,2456,149122,1
72,29,3439,96087,0
118,22,3405,128868,1
106,25,1833,199119,1
118,26,3165,103225,1
86,26,2468,175286,0
118,18,2010,86643,2
71,30,2816,173059,0
71,18,2543,116727,1
97,19,1781,91005,1
92,38,2296,189079,0
106,19,2524,145697,2
101,22,1618,96029,1
102,24,2558,195281,1
70,31,1697,94226,0
88,23,1984,143646,1
71,36,3280,140603,0
113,33,2582,108731,1
95,28,2336,189458,0
101,22,2684,190384,1
75,23,2508,148926,1
101,36,2190,85997,1
73,25,2729,135506,0
80,37,2535,158229,0
86,15,1989,129815,1
107,28,1775,122092,1
93,19,2192,142539,1
74,35,1741,146077,0
103,28,2739,101817,1
75,18,2774,117861,1
91,36,3334,93428,0
80,37,1625,123934,0
117,39,1716,195555,1
85,15,2829,194367,1
102,36,3320,90258,1
78,37,2708,137775,0
75,33,2562,161580,0
85,22,2746,174947,1
98,29,2707,85469,1
72,35,1994,108854,0
89,29,1926,86256,0
105,23,2701,156256,1
88,35,2418,113937,0
95,23,2951,179134,1
72,24,2817,81651,1
88,34,3375,130288,0
89,39,1650,164730,0
101,35,1883,105051,1
76,23,3161,107386,1
110,17,3336,155054,2
102,34,1807,191562,1
109,39,2859,96184,1
108,25,3469,113787,1
87,20,2245,101621,1
109,16,2391,155564,2
70,21,1874,157984,1
80,32,2531,139792,0
97,16,2864,125253,1
94,31,1628,114051,0
119,25,2514,129811,1
92,26,3299,110447,0
100,33,2168,163930,1
99,36,2875,180037,1
111,38,2881,110254,1
104,39,2016,164045,1
76,21,3018,196859,1
85,34,1585,137418,0
95,20,2698,194534,1
117,35,3325,94472,1
118,38,2716,191193,1
71,15,1810,83471,1
70,31,2642,187332,0
117,25,2741,175804,1
81,36,1926,88329,0
74,32,3493,114865,0
106,35,2937,126850,1
101,31,1613,134220,1
78,21,2668,192234,1
110,31,3061,173808,1
104,34,3171,188381,1
88,23,1802,86397,1
117,31,2243,177909,1
85,34,3404,115525,0
72,36,2087,133072,0
89,36,2486,170106,0
93,22,3363,163820,1
102,31,1844,164530,1
93,21,2313,103284,1
80,15,3487,141330,1
118,27,2300,163369,1
77,37,2524,105122,0
105,33,2670,150553,1
107,38,2810,161906,1
109,33,3499,174788,1
89,31,3177,142812,0
104,27,2576,87999,1
117,30,2827,102436,1
94,22,2592,122963,1
104,33,1860,82096,1
94,32,3125,193737,0
98,15,3481,105279,1
87,28,2743,188899,0
115,33,3485,194245,1
87,29,2509,106201,0
71,32,2203,99715,0
104,16,3489,109309,1
85,36,2074,95078,0
110,31,3108,136614,1
105,32,2684,85105,1
102,20,3204,197666,1
73,33,2612,174848,0
102,18,2187,82839,1
83,15,2280,148920,1
90,22,2084,123619,1
117,37,3280,122821,1
89,21,2088,93493,1
77,17,2682,97069,1
76,24,1988,192443,1
72,24,2470,87531,1
86,33,2847,117051,0
102,28,3133,87736,1
117,16,2904,87710,2
81,15,2625,147155,1
91,37,1993,93975,0
91,37,3167,142424,0
115,32,3137,125603,1
99,21,1518,103252,1
107,22,2977,160797,1
107,15,3005,81431,2
114,39,3117,154603,1
77,37,1896,117481,0
96,17,2500,172573,1
96,38,2802,89557,1
103,37,2350,154971,1
90,22,2888,183302,1
99,36,2854,80162,1
102,39,3164,114742,1
97,29,2867,99675,1
116,19,2321,153997,2
102,17,1954,97015,1
74,33,3124,130057,0
117,15,2224,112591,2
88,29,3178,173583,0
73,22,2588,180318,1
104,16,2599,89833,1
118,17,2210,87896,2
86,38,1642,112972,0
113,28,2416,129733,1
97,38,3438,121800,1
99,28,2327,176044,1
98,25,2104,85347,1
115,30,2996,139063,1
75,18,2940,175850,1
104,34,1804,82643,1
110,19,2235,120785,2
106,36,3020,98681,1
93,35,1790,130026,0
98,28,3463,183864,1
118,37,1601,95892,1
115,30,2790,127299,1
